YEAR,MONTH,freq
2011,11,1591
2011,12,1657
2012,1,505
2012,2,436
2012,3,420
2012,4,457
2012,5,443
2012,6,452
2012,7,461
2012,8,436
2012,9,437
2012,10,529
2012,11,474
2012,12,491
2013,1,481
2013,2,431
2013,3,457
2013,4,466
2013,5,460
2013,6,461
2013,7,426
2013,8,418
2013,9,451
2013,10,491
2013,11,487
2013,12,458
2014,1,422
2014,2,440
2014,3,408
2014,4,396
2014,5,435
2014,6,453
2014,7,431
2014,8,408
2014,9,485
2014,10,538
2014,11,510
2014,12,536
2015,1,512
2015,2,430
2015,3,563
2015,4,477
2015,5,353
2015,6,459
2015,7,483
2015,8,486
2015,9,500
2015,10,518
2015,11,575
2015,12,575
2016,1,572
2016,2,470
2016,3,512
2016,4,488
2016,5,443
2016,6,473
2016,7,457
2016,8,475
2016,9,503
2016,10,572
