,year,month,temp,rain,avg_rain,humidity,wind,accidents
0,2011,11,5.84229174519,0.3568790049,49.2968714663,80.5574820957,9.7553712778,1591
1,2011,12,0.492735703246,0.184930448223,1.96870170015,77.9578825348,8.79354714065,1657
2,2012,1,-3.67894544123,0.088905162944,1.64577077993,81.3449285976,11.4059685097,505
3,2012,2,-5.63178451178,0.08632996633,1.49023569024,78.0154882155,6.4665993266,436
4,2012,3,-0.0119047619048,0.0288220551378,0.431077694236,76.8295739348,7.12481203008,420
5,2012,4,5.92179034158,0.0751472320377,1.03698468787,74.9917550059,9.83521790342,457
6,2012,5,11.4488982162,0.0557187827912,0.721196222455,75.3578174187,7.12749213012,443
7,2012,6,14.7387547649,0.0388818297332,0.328081321474,81.2312579416,6.71118170267,452
8,2012,7,19.8368479467,0.0658157602664,0.732630410655,75.9289678135,6.6269700333,461
9,2012,8,20.651068038,0.0628164556962,0.861194620253,77.3409810127,7.32966772152,436
10,2012,9,16.3103141116,0.699484294421,10.2289029536,82.1741678387,7.02076887014,437
11,2012,10,11.0172077185,0.119001135074,0.97541430193,81.9768444949,9.46031782066,529
12,2012,11,4.27022668848,0.0915400794578,1.11474643608,79.9794344473,8.73257770507,474
13,2012,12,0.225619174434,0.15137150466,1.52894806924,85.776298269,9.26053262317,491
14,2013,1,-7.13305162175,0.0226359068068,0.214938328004,77.1560073093,10.7388076747,481
15,2013,2,-4.88448190382,0.154412493803,1.81730292514,78.4895884978,12.1343827467,431
16,2013,3,-0.252091340719,0.0408320144698,0.64024417816,78.172507348,8.63992765092,457
17,2013,4,3.95500588928,0.052320376914,0.811213191991,75.2928150766,8.86946996466,466
18,2013,5,11.2229493088,0.0554377880184,0.87,77.5594470046,4.0568202765,460
19,2013,6,15.4376401495,0.114735718099,1.2517351842,77.5603310198,0.876454885211,461
20,2013,7,20.7668126521,0.0548905109489,0.823527980535,74.9678832117,1.81284671533,426
21,2013,8,19.1637851544,2.24723374827,34.7642461964,70.8151221761,0.947579529737,418
22,2013,9,15.7449565798,0.106479625919,1.89058116232,75.6533066132,0.0,451
23,2013,10,11.3437485869,0.0,0.277843092923,67.2165950712,0.00888537191951,491
24,2013,11,4.39899579636,0.0319710415694,0.344675385334,72.370621205,1.34320411023,487
25,2013,12,-4.35406504065,0.0918699186992,1.14349593496,82.6845076784,5.24460252936,458
26,2014,1,-5.76960129062,0.0654298225398,0.787439502189,72.5602673427,9.1581239917,422
27,2014,2,-6.43076538269,0.0654077038519,0.772311155578,67.4364682341,4.28649324662,440
28,2014,3,-5.11331527872,0.293229519296,2.28431505304,61.5427668698,6.65917400135,408
29,2014,4,3.48168882669,0.124282715185,1.7281782132,68.5290412876,6.3121763471,396
30,2014,5,7.86270368135,0.0580567290284,0.528364514182,65.1834640917,3.50814725407,435
31,2014,6,14.2585007974,0.0920893141946,1.39744816587,65.44784689,4.02909090909,453
32,2014,7,21.0319976429,0.0825869180907,0.977519151444,64.027695934,7.63105480259,431
33,2014,8,18.7689857691,0.781499887057,3.21305624576,70.5744296363,5.00682177547,408
34,2014,9,15.7165203512,0.162702846502,2.63780260708,63.8347964884,7.36036179835,485
35,2014,10,11.6457926968,0.0984123383987,1.12422317986,68.7421183942,7.60884554321,538
36,2014,11,3.62715047531,0.138952005565,1.95891490842,66.54022722,9.46167400881,510
37,2014,12,0.470443686007,0.142548350398,1.78036405006,69.2332195677,7.57640500569,536
38,2015,1,-7.4854665754,0.223956194387,52.9315993612,57.1697467488,10.041615332,512
39,2015,2,-10.8743577075,0.00817687747036,0.119318181818,54.4100790514,7.74266304348,430
40,2015,3,-5.13349088454,0.035043889264,0.420886788206,51.0994823318,7.30706729687,563
41,2015,4,1.58636363636,0.138402061856,1.80531865042,52.7853795689,6.7148547329,477
42,2015,5,11.4557556417,0.0590608616367,0.603236836107,42.5684978345,7.12035559608,353
43,2015,6,13.2321577726,0.182784222738,2.47658932715,55.0642691415,5.81199535963,459
44,2015,7,18.3982909931,0.0834180138568,0.96584295612,56.8958429561,4.23263279446,483
45,2015,8,21.4017661525,0.000737759892689,0.0370668455175,57.8215962441,5.58678739101,486
46,2015,9,16.9763115197,0.0,0.0,60.820443483,4.79402379665,500
47,2015,10,8.84578424578,0.108824208824,1.27463617464,53.2705012705,7.79309309309,518
48,2015,11,4.59763928234,0.125165250236,1.53132672332,55.4140698772,7.77533050047,575
49,2015,12,1.16954986761,0.126699029126,1.65247131509,60.8424536628,7.01284201236,575
50,2016,1,-3.79216366158,0.603606102635,0.650716597319,42.5441516412,11.2665048544,572
51,2016,2,-2.56148992963,0.0476826013104,0.677772385343,48.5355496239,7.60997330745,470
52,2016,3,-2.1211218986,0.0686299892125,0.657518878101,37.1393743258,7.38261057174,512
53,2016,4,3.2999023199,0.0750671550672,1.06898656899,33.9347985348,7.50356532357,488
54,2016,5,10.486088221,0.0753514299564,0.897746000969,38.2937469704,7.84270479884,443
55,2016,6,15.1013480392,0.0656862745098,0.866764705882,37.5382352941,6.58176470588,473
56,2016,7,19.5518218623,0.0727395411606,1.01032388664,41.3110661269,5.84376968061,457
57,2016,8,18.7110791743,0.0188398223151,0.12197543768,45.1523386465,6.01345701594,475
58,2016,9,15.7787198471,0.121184619059,0.457582994984,45.4031526152,6.31819918796,503
59,2016,10,8.75108254398,0.615110509698,4.90383400992,41.4055029319,5.18443843031,572
